Z,Y,T
0.0033103,-0.0086724,188.74657745106953
-0.0033103,-0.0086724,188.74657745106953
0.0033103,-0.0074655,191.77689387251974
-0.0033103,-0.0074655,191.77689387251974
0.0033103,-0.0062586,195.8544941560588
-0.0033103,-0.0062586,195.8544941560588
0.0033103,-0.0050517,201.19329925080456
-0.0033103,-0.0050517,201.19329925080456
0.0033103,-0.0038448,208.13200579948995
-0.0033103,-0.0038448,208.13200579948995
0.0033103,-0.0026379,217.33714430023667
-0.0033103,-0.0026379,217.33714430023667
0.0033103,-0.001431,229.10587273008153
-0.0033103,-0.001431,229.10587273008153
0.0033103,-0.0002241,244.0145344638605
-0.0033103,-0.0002241,244.0145344638605
0.0033103,0.0009828,262.8346072596675
-0.0033103,0.0009828,262.8346072596675
0.0033103,0.0021897,287.0611470616649
-0.0033103,0.0021897,287.0611470616649
0.0033103,0.0033966,317.0082657443288
-0.0033103,0.0033966,317.0082657443288
0.0033103,0.0046034,353.36937526086365
-0.0033103,0.0046034,353.36937526086365
0.0033103,0.0058103,396.9006934896312
-0.0033103,0.0058103,396.9006934896312
0.0033103,0.0070172,448.5877503130234
-0.0033103,0.0070172,448.5877503130234
0.0033103,0.0082241,507.94000530422045
-0.0033103,0.0082241,507.94000530422045
0.0033103,0.009431,574.6201561832227
-0.0033103,0.009431,574.6201561832227
0.0033103,0.0106379,648.5744980345
-0.0033103,0.0106379,648.5744980345
0.0033103,0.0118448,729.911734539296
-0.0033103,0.0118448,729.911734539296
0.0033103,0.0130517,817.469864981294
-0.0033103,0.0130517,817.469864981294
0.0033103,0.0142586,910.6070535736751
-0.0033103,0.0142586,910.6070535736751
0.0033103,0.0154655,1009.8381767887913
-0.0033103,0.0154655,1009.8381767887913
0.0033103,0.0166724,1114.0181477728615
-0.0033103,0.0166724,1114.0181477728615
0.0033103,0.0178793,1222.5518651376724
-0.0033103,0.0178793,1222.5518651376724
0.0033103,0.0190862,1333.6847277567697
-0.0033103,0.0190862,1333.6847277567697
0.0033103,0.0202931,1446.1015229326715
-0.0033103,0.0202931,1446.1015229326715
0.0033103,0.0215,1559.6269043529887
-0.0033103,0.0215,1559.6269043529887
0.0037241,-0.0135,184.0988400048327
-0.0037241,-0.0135,184.0988400048327
0.0037241,-0.0122931,184.3956458800891
-0.0037241,-0.0122931,184.3956458800891
0.0037241,-0.0110862,185.22445792663552
-0.0037241,-0.0110862,185.22445792663552
0.0037241,-0.0098793,186.63982413922247
-0.0037241,-0.0098793,186.63982413922247
0.0037241,-0.0086724,188.74660181214685
-0.0037241,-0.0086724,188.74660181214685
0.0037241,-0.0074655,191.77694070180218
-0.0037241,-0.0074655,191.77694070180218
0.0037241,-0.0062586,195.85460010189888
-0.0037241,-0.0062586,195.85460010189888
0.0037241,-0.0050517,201.1934823168022
-0.0037241,-0.0050517,201.1934823168022
0.0037241,-0.0038448,208.13227255839078
-0.0037241,-0.0038448,208.13227255839078
0.0037241,-0.0026379,217.33760725328742
-0.0037241,-0.0026379,217.33760725328742
0.0037241,-0.001431,229.10650559996952
-0.0037241,-0.001431,229.10650559996952
0.0037241,-0.0002241,244.01541381406344
-0.0037241,-0.0002241,244.01541381406344
0.0037241,0.0009828,262.8356747706213
-0.0037241,0.0009828,262.8356747706213
0.0037241,0.0021897,287.0623618677526
-0.0037241,0.0021897,287.0623618677526
0.0037241,0.0033966,317.00949974058693
-0.0037241,0.0033966,317.00949974058693
0.0037241,0.0046034,353.3703951926209
-0.0037241,0.0046034,353.3703951926209
0.0037241,0.0058103,396.9013726148439
-0.0037241,0.0058103,396.9013726148439
0.0037241,0.0070172,448.5879422993281
-0.0037241,0.0070172,448.5879422993281
0.0037241,0.0082241,507.9399187745393
-0.0037241,0.0082241,507.9399187745393
